Critère;Description;Interprétation;Poids(ex)
ebitdaMargins (Marge EBITDA); La marge EBITDA (bénéfice avant intérêts, impôts, dépréciation et amortissement) indique la rentabilité opérationnelle de l'entreprise.;"- Une marge EBITDA élevée est généralement préférée car elle indique une forte rentabilité opérationnelle.

- Une marge EBITDA plus faible peut être acceptable pour des entreprises en phase de croissance rapide avec des coûts élevés.";"- Pour la rentabilité : 1 (positif) - Une marge EBITDA élevée améliore le score.

- Pour la croissance : 0 (neutre) - Une marge EBITDA plus faible peut être tolérée si l'entreprise est en phase de croissance rapide."
Operating Margin (Marge opérationnelle);La marge opérationnelle mesure la rentabilité des opérations principales d'une entreprise avant les intérêts et les impôts.;"- Une marge opérationnelle élevée indique une bonne gestion des coûts et une forte rentabilité des opérations.

- Une marge opérationnelle plus faible peut être acceptable dans des industries avec des coûts d'exploitation élevés mais des volumes de ventes importants.";"- Pour la rentabilité : 1 (positif) - Une marge opérationnelle élevée améliore le score.

- Pour la croissance : 0 (neutre) - Une marge opérationnelle plus faible peut être tolérée dans des industries à volume élevé."
Return on Assets (ROA);Le retour sur les actifs (ROA) mesure la rentabilité de l'entreprise par rapport à ses actifs totaux.;"- Un ROA élevé indique une utilisation efficace des actifs pour générer des bénéfices.

- Un ROA plus faible peut être acceptable pour des entreprises à forte intensité de capital.";"- Pour la rentabilité : 1 (positif) - Un ROA élevé est préféré car il indique une utilisation efficace des actifs.

- Pour la croissance : 0 (neutre) - Un ROA plus faible peut être toléré si l'entreprise est en forte croissance."
Price-to-Book Ratio (P/B Ratio);Le ratio prix/valeur comptable (P/B) compare le prix de marché d'une action à sa valeur comptable par action.;"- Un ratio P/B faible peut indiquer que l'action est sous-évaluée par rapport à ses actifs.

- Un ratio P/B élevé peut être acceptable pour des entreprises avec des actifs incorporels importants (comme les marques et la propriété intellectuelle).";"- Pour la valorisation : -1 (négatif) - Un ratio P/B faible est préféré car il peut indiquer une action sous-évaluée.

- Pour la croissance : 0 (neutre) - Un ratio P/B élevé peut être toléré pour les entreprises à forte valeur immatérielle."
Debt/EBITDA Ratio;Le ratio dette/EBITDA mesure le niveau d'endettement d'une entreprise par rapport à son EBITDA.;"- Un ratio faible indique que l'entreprise a moins de dette par rapport à ses bénéfices opérationnels.

- Un ratio élevé peut être acceptable si l'entreprise peut facilement couvrir ses paiements d'intérêts.";"- Pour la sécurité : -1 (négatif) - Un ratio faible est préféré car il indique une moindre dépendance à la dette.

- Pour la croissance : 0 (neutre) - Un ratio élevé peut être toléré si l'entreprise utilise efficacement la dette."
Interest Coverage Ratio;Le ratio de couverture des intérêts mesure la capacité de l'entreprise à couvrir ses frais d'intérêts avec ses bénéfices avant intérêts et impôts.;"- Un ratio élevé indique une bonne capacité à couvrir les frais d'intérêts, réduisant le risque financier.

- Un ratio faible peut indiquer un risque accru de défaut sur les paiements d'intérêts.";"- Pour la sécurité : 1 (positif) - Un ratio élevé est préféré car il montre une bonne couverture des frais d'intérêts.

- Pour la croissance : 0 (neutre) - Un ratio faible peut être acceptable si l'entreprise réinvestit pour sa croissance."
Net Profit Margin;La marge bénéficiaire nette mesure le pourcentage du revenu net par rapport au total des ventes.;"- Une marge bénéficiaire nette élevée indique une rentabilité globale élevée après toutes les dépenses.

- Une marge bénéficiaire nette plus faible peut être acceptable pour des entreprises en phase de croissance avec des dépenses élevées.";"- Pour la rentabilité : 1 (positif) - Une marge bénéficiaire nette élevée est un bon signe de rentabilité globale.

- Pour la croissance : 0 (neutre) - Une marge bénéficiaire nette plus faible peut être tolérée pour des entreprises en forte croissance."
Quick Ratio;Le ratio de liquidité immédiate mesure la capacité de l'entreprise à utiliser ses actifs les plus liquides pour rembourser ses passifs courants.;"- Un ratio supérieur à 1 est préféré, indiquant une bonne liquidité à court terme.

- Un ratio inférieur à 1 peut être acceptable pour des entreprises avec des flux de trésorerie très stables.";"- Pour la sécurité : 1 (positif) - Un ratio de liquidité immédiate élevé est préféré.

- Pour la croissance : 0 (neutre) - Un ratio inférieur à 1 peut être toléré pour des entreprises avec des flux de trésorerie stables."
operatingCashFlow (OCF);Le flux de trésorerie opérationnel mesure la trésorerie générée par les opérations principales de l'entreprise.;"- Un OCF élevé est un bon indicateur de la capacité de l'entreprise à générer des liquidités.

- Un OCF faible peut être acceptable si l'entreprise réinvestit massivement pour sa croissance future.";"- Pour la rentabilité : 1 (positif) - Un flux de trésorerie opérationnel élevé est préféré.

- Pour la croissance : 0 (neutre) - Un flux de trésorerie opérationnel faible peut être toléré si l'entreprise réinvestit pour sa croissance."
Price/Earnings to Sales Growth (PESG) Ratio;Le ratio PESG compare le ratio P/E à la croissance des ventes.;"- Un ratio faible indique que l'action est sous-évaluée par rapport à la croissance des ventes.

- Un ratio élevé peut être acceptable pour des entreprises avec un potentiel de croissance exceptionnel.";"- Pour la valorisation : -1 (négatif) - Un ratio PESG faible est préféré.

- Pour la croissance : 0 (neutre) - Un ratio élevé peut être toléré pour des entreprises avec un potentiel de croissance exceptionnel."
Return on Capital Employed (ROCE);Le retour sur le capital employé mesure la rentabilité de l'entreprise par rapport au capital total employé.;"- Un ROCE élevé indique une utilisation efficace du capital pour générer des bénéfices.

- Un ROCE plus faible peut être acceptable pour des entreprises en phase de croissance initiale.";"- Pour la rentabilité : 1 (positif) - Un ROCE élevé est préféré.

- Pour la croissance : 0 (neutre) - Un ROCE plus faible peut être toléré si l'entreprise est en forte croissance."
Enterprise Value/EBITDA (EV/EBITDA);Le ratio EV/EBITDA compare la valeur d'entreprise au bénéfice avant intérêts, impôts, dépréciation et amortissement.;"- Un ratio faible indique que l'entreprise est sous-évaluée par rapport à son EBITDA.

- Un ratio élevé peut être acceptable pour des entreprises à forte croissance où l'EBITDA futur est attendu.";"- Pour la valorisation : -1 (négatif) - Un ratio EV/EBITDA faible est préféré.

- Pour la croissance : 0 (neutre) - Un ratio EV/EBITDA élevé peut être toléré si l'entreprise a un fort potentiel de croissance."
Beta (Volatilité de l'action);Le beta mesure la volatilité de l'action par rapport au marché global. Un beta supérieur à 1 indique que l'action est plus volatile que le marché, tandis qu'un beta inférieur à 1 indique que l'action est moins volatile.;"- Un beta élevé (supérieur à 1) peut indiquer une action plus risquée et plus volatile, ce qui peut être souhaitable pour les investisseurs tolérants au risque cherchant des rendements plus élevés.

- Un beta faible (inférieur à 1) indique une action moins volatile, ce qui peut être préférable pour les investisseurs recherchant la sécurité.";"- Pour la gestion du risque : 1 (positif) - Un beta élevé peut indiquer un risque élevé et doit être surveillé.

- Pour la sécurité : -1 (négatif) - Un beta faible est préféré car il indique une moindre volatilité."
Dividend Payout Ratio;Le ratio de distribution des dividendes mesure le pourcentage des bénéfices distribués aux actionnaires sous forme de dividendes. Il est calculé en divisant les dividendes totaux par le bénéfice net.;"- Un ratio de distribution élevé peut indiquer que l'entreprise retourne une grande partie de ses bénéfices aux actionnaires, ce qui peut être attractif pour les investisseurs axés sur le revenu.

- Un ratio de distribution trop élevé peut aussi signaler un manque de réinvestissement dans l'entreprise.";"- Pour le rendement : 1 (positif) - Un ratio de distribution élevé peut indiquer une bonne politique de dividendes.

- Pour la sécurité : 0 ou -1 (négatif) - Un ratio trop élevé peut indiquer un manque de réinvestissement et doit être surveillé."
Cash Conversion Cycle (CCC);Le cycle de conversion de trésorerie mesure le temps nécessaire pour convertir les investissements en stocks et autres ressources en liquidités. Il est calculé en additionnant la durée moyenne des créances clients, la durée moyenne des stocks et en soustrayant la durée moyenne des dettes fournisseurs.;"- Un CCC court indique une gestion efficace des liquidités et une rapide conversion des stocks en ventes, ce qui est un bon signe de gestion financière.

- Un CCC long peut indiquer des inefficacités dans la gestion des stocks ou des créances.";"- Pour la sécurité : -1 (négatif) - Un CCC court est préféré car il indique une gestion efficace des liquidités.

- Pour la croissance : 1 (positif) - Un CCC long pourrait être toléré dans les entreprises à forte croissance, où l'investissement dans les stocks est stratégique."
